datetime,Global_active_power,Global_reactive_power,Voltage,Global_intensity,Sub_metering_1,Sub_metering_2,Sub_metering_3
2026-01-24 21:55:00,2.3931,0.39,228.977,10.451,21.065,4.495,29.454
2026-01-24 22:00:00,1.791,0.1888,232.042,7.718,12.23,8.658,27.324
2026-01-24 22:05:00,1.8994,0.3321,228.934,8.297,9.806,5.526,33.177
2026-01-24 22:10:00,2.0087,0.2647,231.005,8.695,11.5,6.403,17.802
2026-01-24 22:15:00,1.8545,0.1855,228.195,8.127,13.235,10.238,15.714
2026-01-24 22:20:00,1.8453,0.2788,232.114,7.95,9.276,6.094,25.943
2026-01-24 22:25:00,1.9863,0.2079,232.878,8.53,15.364,5.716,19.826
2026-01-24 22:30:00,1.8744,0.2392,231.383,8.101,13.996,4.708,31.186
2026-01-24 22:35:00,1.7278,0.2949,229.081,7.542,14.403,9.574,19.021
2026-01-24 22:40:00,1.7905,0.1903,229.491,7.802,17.254,4.145,24.608
2026-01-24 22:45:00,1.6936,0.3115,234.516,7.222,16.069,6.665,18.298
2026-01-24 22:50:00,1.7031,0.171,229.123,7.433,16.495,7.155,25.869
2026-01-24 22:55:00,1.7919,0.2234,232.625,7.703,10.024,9.145,17.532
2026-01-24 23:00:00,0.8754,0.1524,230.847,3.792,4.319,4.231,7.547
2026-01-24 23:05:00,0.9023,0.1188,229.165,3.937,5.351,5.161,8.096
2026-01-24 23:10:00,0.9736,0.1073,226.638,4.296,9.14,1.841,19.727
2026-01-24 23:15:00,0.9561,0.1301,230.529,4.148,9.406,3.011,9.668
2026-01-24 23:20:00,1.0179,0.1293,230.228,4.421,9.343,3.122,17.496
2026-01-24 23:25:00,0.9432,0.1738,234.516,4.022,4.535,2.261,8.661
2026-01-24 23:30:00,0.9004,0.1183,227.85,3.952,8.728,2.803,8.721
2026-01-24 23:35:00,1.0192,0.1823,235.737,4.324,6.764,3.277,14.977
2026-01-24 23:40:00,0.925,0.175,230.947,4.005,3.905,3.955,13.084
2026-01-24 23:45:00,0.9337,0.1339,230.945,4.043,6.3,4.655,18.887
2026-01-24 23:50:00,0.8692,0.166,228.517,3.804,3.855,3.105,17.509
2026-01-24 23:55:00,0.9244,0.1273,230.787,4.005,6.784,4.866,16.711
2026-01-25 00:00:00,0.4161,0.0817,231.183,1.8,2.555,1.393,6.599
